2026-07-12 21:56:16.956 | ERROR    | api.upstox_client:get:54 - Request failed for /market-quote/quotes: Event loop is closed
2026-07-12 21:56:57.290 | ERROR    | api.upstox_client:get:54 - Request failed for /market-quote/quotes: Event loop is closed
2026-07-12 21:57:05.357 | INFO     | services.instruments:fetch_index_constituents:77 - Fetched 200 constituents for NIFTY 200
2026-07-12 21:57:10.665 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:57:10.725 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE361B01024/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:57:10.798 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE089A01031/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:57:10.866 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE484J01027/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:57:10.928 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE171A01029/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:57:10.976 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE758T01015/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:57:11.011 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE040A01034/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:57:11.029 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE129A01019/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:57:11.048 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE860A01027/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:57:11.086 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE935N01020/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:57:11.168 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE158A01026/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:57:11.246 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE047A01021/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:57:11.364 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE795G01014/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:57:18.244 | INFO     | news:fetch_news:156 - Fetched 84 unique news items
2026-07-12 21:57:44.718 | ERROR    | api.upstox_client:get:54 - Request failed for /market-quote/quotes: Event loop is closed
2026-07-12 21:57:48.034 | INFO     | scanner:run_scan:98 - Starting Nifty 200 strategy scan...
2026-07-12 21:58:07.226 | INFO     | scanner:run_scan:118 - Scan complete: 200 stocks processed
2026-07-12 21:58:07.410 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:58:07.433 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE361B01024/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:58:07.474 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE089A01031/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:58:07.512 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE878B01027/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:58:07.550 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE047A01021/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:58:07.583 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE171A01029/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:58:07.635 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE935N01020/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:15.201 | ERROR    | api.upstox_client:get:54 - Request failed for /market-quote/quotes: Event loop is closed
2026-07-12 21:59:24.748 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE245A01021/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:24.812 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE081A01020/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:24.858 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE628A01036/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:24.874 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE280A01028/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:24.909 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE377N01017/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:24.938 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE01EA01019/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:24.941 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE481G01011/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:24.960 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE849A01020/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:24.970 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE528G01035/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:24.979 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE669E01016/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:25.000 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE854D01024/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:25.010 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE200M01039/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:25.024 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE226A01021/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:25.051 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE669C01036/day/2026-07-12/2026-06-12: Event loop is closed
